AZ,A,Z,AX,ME
20481.3,204,81.3,204tlp,-20850
20482,204,82,204pb,-25109.7
20482.1,204,82.1,204pbm,-22923.9
20483,204,83,204bi,-20667
20483.1,204,83.1,204bim,-19862
20483.2,204,83.2,204bin,-17834
20484,204,84,204po,-18334
20485,204,85,204at,-11875
20485.1,204,85.1,204atm,-11288
20486,204,86,204rn,-7984
20487,204,87,204fr,608
20487.1,204,87.1,204frm,658
20487.2,204,87.2,204frn,934
20488,204,88,204ra,6054
20579,205,79,205au,-18750
20580,205,80,205hg,-22287
20580.1,205,80.1,205hgm,-20730
20581,205,81,205tl,-23820.6
20581.1,205,81.1,205tlm,-20530
20582,205,82,205pb,-23770.1
20582.1,205,82.1,205pbm,-22756.3
20582.2,205,82.2,205pbn,-20574.5
20583,205,83,205bi,-21062
20584,205,84,205po,-17509
20584.1,205,84.1,205pom,-16048
20584.2,205,84.2,205pon,-16629
20585,205,85,205at,-12972
20585.1,205,85.1,205atm,-10909
20585.2,205,85.2,205atn,-10632
20586,205,86,205rn,-7710
20587,205,87,205fr,-1310
20588,205,88,205ra,5840
20588.1,205,88.1,205ram,6150
20680,206,80,206hg,-20946
20681,206,81,206tl,-22253.1
20681.1,206,81.1,206tlm,-19610
20682,206,82,206pb,-23785.4
20682.1,206,82.1,206pbm,-21585.3
20682.2,206,82.2,206pbn,-19758.1
20683,206,83,206bi,-20028
20683.1,206,83.1,206bim,-19968
20683.2,206,83.2,206bin,-18983
20684,206,84,206po,-18182
20684.1,206,84.1,206pom,-16596
20684.2,206,84.2,206pon,-15920
20685,206,85,206at,-12420
20685.1,206,85.1,206atm,-11613
20686,206,86,206rn,-9116
20687,206,87,206fr,-1243
20687.1,206,87.1,206frm,-1048
20687.2,206,87.2,206frn,-517
20688,206,88,206ra,3565
20689,206,89,206ac,13510
20689.1,206,89.1,206acm,13590
20689.2,206,89.2,206acn,13800
20780,207,80,207hg,-16220
20781,207,81,207tl,-21034
20781.1,207,81.1,207tlm,-19686
20782,207,82,207pb,-22451.9
20782.1,207,82.1,207pbm,-20818.5
20783,207,83,207bi,-20054.4
20783.1,207,83.1,207bim,-17952.9
20784,207,84,207po,-17146
20784.1,207,84.1,207pom,-15763
20784.2,207,84.2,207pon,-16031
20785,207,85,207at,-13243
20786,207,86,207rn,-8631
20786.1,207,86.1,207rnm,-7732
20787,207,87,207fr,-2840
20788,207,88,207ra,3540
20788.1,207,88.1,207ram,4095
20789,207,89,207ac,11130
20880,208,80,208hg,-13100
20881,208,81,208tl,-16749.5
20882,208,82,208pb,-21748.5
20882.1,208,82.1,208pbm,-16853.5
20883,208,83,208bi,-18870
20883.1,208,83.1,208bim,-17298.9
20884,208,84,208po,-17469.5
20885,208,85,208at,-12491
20886,208,86,208rn,-9648
20887,208,87,208fr,-2670
20888,208,88,208ra,1714
20888.1,208,88.1,208ram,3510
20889,208,89,208ac,10760
20889.1,208,89.1,208acm,11258
20980,209,80,209hg,-8350
20981,209,81,209tl,-13638
20982,209,82,209pb,-17614.4
20983,209,83,209bi,-18258.5
20984,209,84,209po,-16365.9
20985,209,85,209at,-12880
20986,209,86,209rn,-8929
20986.1,209,86.1,209rnm,-7755
20987,209,87,209fr,-3769
20988,209,88,209ra,1850
20989,209,89,209ac,8840
20990,209,90,209th,16500
21080,210,80,210hg,-5110
21081,210,81,210tl,-9246
21082,210,82,210pb,-14728.3
21082.1,210,82.1,210pbm,-13450
21083,210,83,210bi,-14791.8
21083.1,210,83.1,210bim,-14520.5
21083.2,210,83.2,210bin,-14358.3
21084,210,84,210po,-15953.1
21084.1,210,84.1,210pom,-14396.1
21085,210,85,210at,-11972
21085.1,210,85.1,210atm,-9422
21085.2,210,85.2,210atn,-7944
21085.3,210,85.3,210atp,-5013
21086,210,86,210rn,-9598
21086.1,210,86.1,210rnm,-7908
21086.2,210,86.2,210rnn,-5761
21086.3,210,86.3,210rnp,-3105
21087,210,87,210fr,-3346
21088,210,88,210ra,461
21088.1,210,88.1,210ram,2260
21089,210,89,210ac,8790
21090,210,90,210th,14043
21181,211,81,211tl,-6080
21182,211,82,211pb,-10491.4
21183,211,83,211bi,-11858
21183.1,211,83.1,211bim,-10631
21183.2,211,83.2,211bin,-10601
21184,211,84,211po,-12432.5
21184.1,211,84.1,211pom,-10970
21184.2,211,84.2,211pon,-10298
21184.3,211,84.3,211pop,-7559
21185,211,85,211at,-11647.1
21186,211,86,211rn,-8756
21187,211,87,211fr,-4158
21188,211,88,211ra,836
21189,211,89,211ac,7200
21190,211,90,211th,13910
21281,212,81,212tl,-1650
21282,212,82,212pb,-7547.4
21282.1,212,82.1,212pbm,-6212
21283,212,83,212bi,-8117.3
21283.1,212,83.1,212bim,-7870
21283.2,212,83.2,212bin,-5920
21284,212,84,212po,-10369.4
21284.1,212,84.1,212pom,-7459
21285,212,85,212at,-8621
21285.1,212,85.1,212atm,-8395
21285.2,212,85.2,212atn,-3849
21286,212,86,212rn,-8660
21287,212,87,212fr,-3538
21288,212,88,212ra,-191
21288.1,212,88.1,212ram,1767
21289,212,89,212ac,7280
21290,212,90,212th,12091
21291,212,91,212pa,21610
21382,213,82,213pb,-3184
21383,213,83,213bi,-5231
21384,213,84,213po,-6653
21385,213,85,213at,-6579
21386,213,86,213rn,-5698
21387,213,87,213fr,-3550
21388,213,88,213ra,358
21388.1,213,88.1,213ram,2127
21389,213,89,213ac,6150
21390,213,90,213th,12120
21391,213,91,213pa,19660
21482,214,82,214pb,-181.3
21483,214,83,214bi,-1200
21484,214,84,214po,-4469.9
21485,214,85,214at,-3380
21485.1,214,85.1,214atm,-3320
21485.2,214,85.2,214atn,-3146
21486,214,86,214rn,-4320
21486.1,214,86.1,214rnm,-2695
21487,214,87,214fr,-958
21487.1,214,87.1,214frm,-835
21488,214,88,214ra,101
21489,214,89,214ac,6429
21490,214,90,214th,10712
21491,214,91,214pa,19490
21582,215,82,215pb,4480
21583,215,83,215bi,1649
21583.1,215,83.1,215bim,2997
21584,215,84,215po,-540.3
21585,215,85,215at,-1255
21586,215,86,215rn,-1169
21587,215,87,215fr,318
21588,215,88,215ra,2534
21588.1,215,88.1,215ram,4412
21588.2,215,88.2,215ran,4781
21589,215,89,215ac,6012
21590,215,90,215th,10927
21591,215,91,215pa,17870
21683,216,83,216bi,5874
21684,216,84,216po,1783.8
21685,216,85,216at,2257
21685.1,216,85.1,216atm,2670
21686,216,86,216rn,256
21687,216,87,216fr,2979
21688,216,88,216ra,3291
21689,216,89,216ac,8123
21689.1,216,89.1,216acm,8166
21690,216,90,216th,10304
21690.1,216,90.1,216thm,12346
21690.2,216,90.2,216thn,12941
21691,216,91,216pa,17800
21783,217,83,217bi,8820
21784,217,84,217po,5901
21785,217,85,217at,4396
21786,217,86,217rn,3659
21787,217,87,217fr,4315
21788,217,88,217ra,5887
21789,217,89,217ac,8707
21789.1,217,89.1,217acm,10719
21790,217,90,217th,12216
21791,217,91,217pa,17070
21791.1,217,91.1,217pam,18930
21792,217,92,217u,22700
21883,218,83,218bi,13340
21884,218,84,218po,8358.3
21885,218,85,218at,8099
21886,218,86,218rn,5217.5
21887,218,87,218fr,7059
21887.1,218,87.1,218frm,7146
21887.3,218,87.3,218frp,7260
21888,218,88,218ra,6651
21889,218,89,218ac,10840
21889.1,218,89.1,218acm,10990
21889.2,218,89.2,218acn,11420
21890,218,90,218th,12374
21891,218,91,218pa,18669
21892,218,92,218u,21920
21984,219,84,219po,12800
21985,219,85,219at,10397
21986,219,86,219rn,8830.8
21987,219,87,219fr,8618
21988,219,88,219ra,9394
21989,219,89,219ac,11570
21990,219,90,219th,14470
21991,219,91,219pa,18520
21992,219,92,219u,23210
22084,220,84,220po,15470
22085,220,85,220at,14350
22086,220,86,220rn,10613.4
22087,220,87,220fr,11483
22088,220,88,220ra,10273
22089,220,89,220ac,13752
22090,220,90,220th,14669
22091,220,91,220pa,20380
22092,220,92,220u,23030
22185,221,85,221at,16810
22186,221,86,221rn,14472
22187,221,87,221fr,13278
22188,221,88,221ra,12964
22189,221,89,221ac,14520
22190,221,90,221th,16938
22191,221,91,221pa,20380
22192,221,92,221u,24590
22285,222,85,222at,20800
22286,222,86,222rn,16373.6
22287,222,87,222fr,16349
22288,222,88,222ra,14321
22289,222,89,222ac,16621
22289.1,222,89.1,222acm,16820
22290,222,90,222th,17203
22291,222,91,222pa,22120
22292,222,92,222u,24300
22385,223,85,223at,23460
22386,223,86,223rn,20300
22387,223,87,223fr,18383.8
22388,223,88,223ra,17234.7
22389,223,89,223ac,17826
22390,223,90,223th,19386
22391,223,91,223pa,22320
22392,223,92,223u,25840
22486,224,86,224rn,22440
22487,224,87,224fr,21660
22488,224,88,224ra,18827.2
22489,224,89,224ac,20235
22490,224,90,224th,19996
22491,224,91,224pa,23870
22492,224,92,224u,25714
22586,225,86,225rn,26490
22587,225,87,225fr,23810
22588,225,88,225ra,21994
22589,225,89,225ac,21638
22590,225,90,225th,22310
22591,225,91,225pa,24340
22592,225,92,225u,27377
22593,225,93,225np,31590
22686,226,86,226rn,28770
22687,226,87,226fr,27370
22688,226,88,226ra,23669.1
22689,226,89,226ac,24310
22690,226,90,226th,23197
22691,226,91,226pa,26033
22692,226,92,226u,27329
22693,226,93,226np,32740
22786,227,86,227rn,32980
22787,227,87,227fr,29650
22788,227,88,227ra,27179
22789,227,89,227ac,25850.9
22790,227,90,227th,25806.2
22791,227,91,227pa,26832
22792,227,92,227u,29022
22793,227,93,227np,32560
22886,228,86,228rn,35380
22887,228,87,228fr,33280
22888,228,88,228ra,28941.8
22889,228,89,228ac,28896
22890,228,90,228th,26772.2
22891,228,91,228pa,28924
22892,228,92,228u,29225
22893,228,93,228np,33700
22894,228,94,228pu,36090
22987,229,87,229fr,35820
22988,229,88,229ra,32563
22989,229,89,229ac,30750
22990,229,90,229th,29586.5
22990.1,229,90.1,229thm,29586.5
22991,229,91,229pa,29898
22991.1,229,91.1,229pam,29909.6
22992,229,92,229u,31211
22993,229,93,229np,33780
22993.3,229,93.3,229npp,33850
22994,229,94,229pu,37400
23087,230,87,230fr,39600
23088,230,88,230ra,34518
23089,230,89,230ac,33810
23090,230,90,230th,30864
23091,230,91,230pa,32175
23092,230,92,230u,31615
23093,230,93,230np,35240
23093.3,230,93.3,230npp,35540
23094,230,94,230pu,36934
23187,231,87,231fr,42330
23188,231,88,231ra,38400
23188.1,231,88.1,231ram,38470
23189,231,89,231ac,35920
23190,231,90,231th,33817.3
23191,231,91,231pa,33425.7
23192,231,92,231u,33807
23193,231,93,231np,35630
23193.3,231,93.3,231npp,35690
23194,231,94,231pu,38285
23195,231,95,231am,42440
23287,232,87,232fr,46360
23288,232,88,232ra,40650
23289,232,89,232ac,39150
23290,232,90,232th,35448.3
23291,232,91,232pa,35948
23292,232,92,232u,34610.7
23293,232,93,232np,37360
23294,232,94,232pu,38366
23295,232,95,232am,43400
23388,233,88,233ra,44770
23389,233,89,233ac,41500
23390,233,90,233th,38733.2
23391,233,91,233pa,37490.1
23392,233,92,233u,36920
23393,233,93,233np,37950
23393.3,233,93.3,233npp,38000
23394,233,94,233pu,40050
23395,233,95,233am,43170
23396,233,96,233cm,47290
23488,234,88,234ra,47230
23489,234,89,234ac,45100
23490,234,90,234th,40614
23491,234,91,234pa,40341
23491.1,234,91.1,234pam,40419
23492,234,92,234u,38146.6
23492.1,234,92.1,234um,39567.9
23493,234,93,234np,39956
23494,234,94,234pu,40350
23495,234,95,234am,44530
23496,234,96,234cm,46724
23589,235,89,235ac,47720
23590,235,90,235th,44260
23591,235,91,235pa,42330
23592,235,92,235u,40920.5
23592.1,235,92.1,235um,40920.6
23593,235,93,235np,41044.7
23594,235,94,235pu,42184
23595,235,95,235am,44660
23596,235,96,235cm,47910
23596.3,235,96.3,235cmp,47960
23597,235,97,235bk,52700
23689,236,89,236ac,51510
23690,236,90,236th,46450
23691,236,91,236pa,45350
23692,236,92,236u,42446.3
23692.1,236,92.1,236um,45196
23693,236,93,236np,43380
23693.1,236,93.1,236npm,43439
23693.3,236,93.3,236npp,43618
23694,236,94,236pu,42902.7
23695,236,95,236am,46180
23696,236,96,236cm,47890
23697,236,97,236bk,53400
23790,237,90,237th,50200
23791,237,91,237pa,47640
23792,237,92,237u,45391.9
23793,237,93,237np,44873.3
23794,237,94,237pu,45093.3
23794.1,237,94.1,237pum,45238.8
23795,237,95,237am,46570
23796,237,96,237cm,49280
23796.3,237,96.3,237cmp,49480
23797,237,97,237bk,53100
23797.3,237,97.3,237bkp,53170
23798,237,98,237cf,57820
23890,238,90,238th,52630
23891,238,91,238pa,50770
23892,238,92,238u,47308.9
23892.1,238,92.1,238um,49866.8
23893,238,93,238np,47456.3
23893.1,238,93.1,238npm,49760
23894,238,94,238pu,46164.7
23895,238,95,238am,48420
23895.1,238,95.1,238amm,50920
23896,238,96,238cm,49400
23897,238,97,238bk,54290
23897.3,238,97.3,238bkp,54490
23898,238,98,238cf,57200
23991,239,91,239pa,53340
23992,239,92,239u,50573.9
23992.1,239,92.1,239um,50594
23992.2,239,92.2,239uxn,50707.7
23993,239,93,239np,49312.4
23994,239,94,239pu,48589.9
23994.1,239,94.1,239pum,48981.5
23995,239,95,239am,49392
23995.1,239,95.1,239amm,51890
23996,239,96,239cm,51190
23996.3,239,96.3,239cmp,51340
23997,239,97,239bk,54290
23997.3,239,97.3,239bkp,54330
23998,239,98,239cf,58150
24091,240,91,240pa,56800
24092,240,92,240u,52715
24093,240,93,240np,52315
24093.1,240,93.1,240npm,52335
24094,240,94,240pu,50127
24095,240,95,240am,51512
24096,240,96,240cm,51725.4
24097,240,97,240bk,55670
24097.3,240,97.3,240bkp,55910
24098,240,98,240cf,58030
24099,240,99,240es,64200
24192,241,92,241u,56200
24193,241,93,241np,54260
24194,241,94,241pu,52956.8
24194.1,241,94.1,241pum,53118.4
24194.2,241,94.2,241pun,55160
24195,241,95,241am,52936
24195.1,241,95.1,241amm,55140
24196,241,96,241cm,53703.4
24197,241,97,241bk,56100
24197.3,241,97.3,241bkp,56150
24198,241,98,241cf,59360
24198.3,241,98.3,241cfp,59510
24199,241,99,241es,63840
24199.3,241,99.3,241esp,64240
24292,242,92,242u,58620
24293,242,93,242np,57420
24293.1,242,93.1,242npm,57420
24294,242,94,242pu,54718.4
24295,242,95,242am,55469.7
24295.1,242,95.1,242amm,55518.3
24295.2,242,95.2,242amn,57670
24296,242,96,242cm,54805.2
24297,242,97,242bk,57740
24297.1,242,97.1,242bkm,57940
24297.3,242,97.3,242bkp,57990
24298,242,98,242cf,59340
24299,242,99,242es,64970
242100,242,100,242fm,68400
24393,243,93,243np,59880
24393.3,243,93.3,243npp,59925
24394,243,94,243pu,57756
24394.1,243,94.1,243pum,58140
24395,243,95,243am,57176.1
24396,243,96,243cm,57183.6
24396.3,243,96.3,243cmp,57312
24397,243,97,243bk,58691
24397.3,243,97.3,243bkp,58740
24398,243,98,243cf,60950
24399,243,99,243es,64780
24399.3,243,99.3,243esp,65180
243100,243,100,243fm,69260
24493,244,93,244np,63200
24494,244,94,244pu,59806
24495,244,95,244am,59881
24495.1,244,95.1,244amm,59969.5
24496,244,96,244cm,58453.7
24496.1,244,96.1,244cmm,59493.9
24497,244,97,244bk,60716
24497.3,244,97.3,244bkp,60860
24498,244,98,244cf,61479.2
24499,244,99,244es,66030
24499.3,244,99.3,244esp,66230
244100,244,100,244fm,69010
24594,245,94,245pu,63106
24595,245,95,245am,61900
24596,245,96,245cm,61004.7
24596.1,245,96.1,245cmm,61360.6
24597,245,97,245bk,61815.4
24597.3,245,97.3,245bkp,61870
24598,245,98,245cf,63386.9
24598.3,245,98.3,245cfp,63540
24599,245,99,245es,66440
24599.3,245,99.3,245esp,66740
24599.4,245,99.4,245esq,66790
245100,245,100,245fm,70220
245101,245,101,245md,75290
245101.1,245,101.1,245mdm,75490
24694,246,94,246pu,65395
24695,246,95,246am,64995
24695.1,246,95.1,246amm,65025
24696,246,96,246cm,62618.4
24697,246,97,246bk,63970
24698,246,98,246cf,64091.7
24699,246,99,246es,67900
24699.3,246,99.3,246esp,68250
246100,246,100,246fm,70140
246101,246,101,246md,76280
246101.1,246,101.1,246mdm,76490
24794,247,94,247pu,69000
24795,247,95,247am,67150
24796,247,96,247cm,65534
24797,247,97,247bk,65491
24798,247,98,247cf,66137
24799,247,99,247es,68610
24799.3,247,99.3,247esp,68930
247100,247,100,247fm,71580
247100.1,247,100.1,247fmm,non-exist
247100.3,247,100.3,247fmp,71730
247100.4,247,100.4,247fmq,71980
247101,247,101,247md,76040
247101.1,247,101.1,247mdm,76170
24895,248,95,248am,70560
24896,248,96,248cm,67392
24897,248,97,248bk,68080
24897.1,248,97.1,248bkm,68110
24897.3,248,97.3,248bkp,68130
24898,248,98,248cf,67240
24899,248,99,248es,70300
24899.1,248,99.1,248esm,non-exist
248100,248,100,248fm,71906
248101,248,101,248md,77150
248101.3,248,101.3,248mdp,77250
248102,248,102,248no,80660
24995,249,95,249am,73100
24996,249,96,249cm,70750
24996.1,249,96.1,249cmm,70799
24997,249,97,249bk,69849.6
24997.1,249,97.1,249bkm,69858.4
24998,249,98,249cf,69725.6
24998.1,249,98.1,249cfm,69870.6
24999,249,99,249es,71180
249100,249,100,249fm,73620
249101,249,101,249md,77330
249101.1,249,101.1,249mdm,77430
249102,249,102,249no,81820
25096,250,96,250cm,72989
25097,250,97,250bk,72951
25097.1,250,97.1,250bkm,72987
25097.2,250,97.2,250bkn,73036
25098,250,98,250cf,71171.8
25099,250,99,250es,73230
25099.1,250,99.1,250esm,73430
250100,250,100,250fm,74074
250100.1,250,100.1,250fmm,75570
250101,250,101,250md,78640
250101.3,250,101.3,250mdp,78830
250102,250,102,250no,81520
25196,251,96,251cm,76648
25197,251,97,251bk,75228
25197.1,251,97.1,251bkm,75264
25198,251,98,251cf,74135
25199,251,99,251es,74512
251100,251,100,251fm,75987
251100.1,251,100.1,251fmm,76178
251101,251,101,251md,79030
251101.3,251,101.3,251mdp,79080
251102,251,102,251no,82910
251102.1,251,102.1,251nom,83030
251103,251,103,251lr,87900
25296,252,96,252cm,79060
25297,252,97,252bk,78530
25298,252,98,252cf,76034
25299,252,99,252es,77290
252100,252,100,252fm,76817
252101,252,101,252md,80630
252101.3,252,101.3,252mdp,80670
252102,252,102,252no,82881
252103,252,103,252lr,88840
252103.3,252,103.3,252lrp,89140
25397,253,97,253bk,80930
25398,253,98,253cf,79301
25399,253,99,253es,79013.7
253100,253,100,253fm,79350
253101,253,101,253md,81300
253101.3,253,101.3,253mdp,81300
253102,253,102,253no,84470
253102.1,253,102.1,253nom,84590
253103,253,103,253lr,88690
253103.1,253,103.1,253lrm,88710
253104,253,104,253rf,93790
253104.1,253,104.1,253rfm,93990
25497,254,97,254bk,84390
25498,254,98,254cf,81341
25499,254,99,254es,81992
25499.1,254,99.1,254esm,82076
254100,254,100,254fm,80904.2
254101,254,101,254md,83510
254101.1,254,101.1,254mdm,83560
254102,254,102,254no,84724
254102.1,254,102.1,254nom,85220
254103,254,103,254lr,89850
254103.3,254,103.3,254lrp,89880
254104,254,104,254rf,93320
25598,255,98,255cf,84810
25599,255,99,255es,84089
255100,255,100,255fm,83799
255100.3,255,100.3,255fmp,84050
255101,255,101,255md,84843
255101.3,255,101.3,255mdp,84850
255102,255,102,255no,86854
255102.3,255,102.3,255nop,86950
255103,255,103,255lr,90060
255104,255,104,255rf,94400
255104.1,255,104.1,255rfm,94320
255105,255,105,255db,100040
25698,256,98,256cf,87040
25699,256,99,256es,87190
25699.1,256,99.1,256esm,87190
256100,256,100,256fm,85486
256101,256,101,256md,87620
256101.3,256,101.3,256mdp,87700
256102,256,102,256no,87824
256103,256,103,256lr,91870
256103.3,256,103.3,256lrp,91970
256104,256,104,256rf,94236
256105,256,105,256db,100720
25799,257,99,257es,89400
257100,257,100,257fm,88589
257101,257,101,257md,88996.2
257102,257,102,257no,90241
257102.3,257,102.3,257nop,90550
257103,257,103,257lr,92740
257103.3,257,103.3,257lrp,92890
257104,257,104,257rf,95930
257104.1,257,104.1,257rfm,96050
257104.3,257,104.3,257rfp,96030
257105,257,105,257db,100340
257105.1,257,105.1,257dbm,100450
25899,258,99,258es,92700
258100,258,100,258fm,90430
258101,258,101,258md,91688
258101.1,258,101.1,258mdm,91690
258102,258,102,258no,91480
258103,258,103,258lr,94840
258103.3,258,103.3,258lrp,95040
258104,258,104,258rf,96400
258105,258,105,258db,101750
258105.1,258,105.1,258dbm,101810
258106,258,106,258sg,105420
259100,259,100,259fm,93700
259101,259,101,259md,93620
259102,259,102,259no,94110
259102.3,259,102.3,259nop,94390
259103,259,103,259lr,95850
259103.3,259,103.3,259lrp,96200
259104,259,104,259rf,98400
259104.3,259,104.3,259rfp,98500
259104.4,259,104.4,259rfq,98610
259105,259,105,259db,102100
259106,259,106,259sg,106660
260100,260,100,260fm,95640
260101,260,101,260md,96550
260102,260,102,260no,95610
260103,260,103,260lr,98280
260104,260,104,260rf,99150
260105,260,105,260db,103680
260105.3,260,105.3,260dbp,103880
260106,260,106,260sg,106580
260107,260,107,260bh,113610
261101,261,101,261md,98480
261102,261,102,261no,98500
261103,261,103,261lr,99560
261104,261,104,261rf,101315
261104.1,261,104.1,261rfm,101390
261104.3,261,104.3,261rfp,101420
261105,261,105,261db,104380
261106,261,106,261sg,108160
261106.3,261,106.3,261sgp,108290
261106.4,261,106.4,261sgq,108320
261107,261,107,261bh,113330
262101,262,101,262md,101410
262102,262,102,262no,99950
262103,262,103,262lr,102120
262104,262,104,262rf,102390
262104.1,262,104.1,262rfm,102990
262105,262,105,262db,106270
262105.3,262,105.3,262dbp,106390
262106,262,106,262sg,108420
262107,262,107,262bh,114470
262107.1,262,107.1,262bhm,114780
263102,263,102,263no,102980
263103,263,103,263lr,103670
263104,263,104,263rf,104840
263105,263,105,263db,107110
263105.3,263,105.3,263dbp,107510
263106,263,106,263sg,110220
263106.1,263,106.1,263sgm,110320
263107,263,107,263bh,114610
263108,263,108,263hs,119750
263108.3,263,108.3,263hsp,120250
264102,264,102,264no,104650
264103,264,103,264lr,106230
264104,264,104,264rf,106180
264105,264,105,264db,109360
264106,264,106,264sg,110780
264107,264,107,264bh,116070
264107.3,264,107.3,264bhp,116370
264108,264,108,264hs,119600
265103,265,103,265lr,107900
265104,265,104,265rf,108710
265105,265,105,265db,110480
265106,265,106,265sg,112820
265106.3,265,106.3,265sgp,113120
265107,265,107,265bh,116570
265108,265,108,265hs,121170
265108.1,265,108.1,265hsm,121480
265109,265,109,265mt,126820
266103,266,103,266lr,111130
266104,266,104,266rf,109880
266105,266,105,266db,112740
266106,266,106,266sg,113700
266107,266,107,266bh,118250
266108,266,108,266hs,121190
266109,266,109,266mt,127890
266109.1,266,109.1,266mtm,129120
267104,267,104,267rf,113200
267105,267,105,267db,113990
267106,267,106,267sg,115900
267107,267,107,267bh,118910
267108,267,108,267hs,122760
267108.1,267,108.1,267hsm,non-exist
267109,267,109,267mt,127900
267110,267,110,267ea,134450
268104,268,104,268rf,115170
268105,268,105,268db,116850
268106,268,106,268sg,117000
268107,268,107,268bh,120870
268108,268,108,268hs,123110
268109,268,109,268mt,129220
268109.3,268,109.3,268mtp,129470
268110,268,110,268ea,133940
269105,269,105,269db,118730
269106,269,106,269sg,119930
269107,269,107,269bh,121740
269108,269,108,269hs,124870
269109,269,109,269mt,129530
269110,269,110,269ea,135180
270105,270,105,270db,121760
270106,270,106,270sg,121400
270107,270,107,270bh,124460
270108,270,108,270hs,125430
270109,270,109,270mt,131020
270110,270,110,270ea,134810
270110.1,270,110.1,270eam,135940
271106,271,106,271sg,124330
271107,271,107,271bh,125920
271108,271,108,271hs,128230
271109,271,109,271mt,131470
271110,271,110,271ea,136060
271110.1,271,110.1,271eam,136090
272106,272,106,272sg,125900
272107,272,107,272bh,128580
272108,272,108,272hs,129530
272109,272,109,272mt,133890
272110,272,110,272ea,136290
272111,272,111,272eb,143090
273106,273,106,273sg,128750
273107,273,107,273bh,130050
273108,273,108,273hs,132260
273109,273,109,273mt,134990
273110,273,110,273ea,138670
273110.1,273,110.1,273eam,138870
273110.3,273,110.3,273eap,138950
273111,273,111,273eb,143150
274107,274,107,274bh,132680
274108,274,108,274hs,133330
274109,274,109,274mt,137390
274110,274,110,274ea,139250
274111,274,111,274eb,145050
275107,275,107,275bh,134370
275108,275,108,275hs,135950
275109,275,109,275mt,138460
275110,275,110,275ea,141750
275111,275,111,275eb,145450
276108,276,108,276hs,137120
276109,276,109,276mt,140800
276110,276,110,276ea,142550
276111,276,111,276eb,147640
277108,277,108,277hs,139580
277109,277,109,277mt,141980
277110,277,110,277ea,144980
277111,277,111,277eb,148590
277112,277,112,277ec,152710
278109,278,109,278mt,144210
278110,278,110,278ea,145750
278111,278,111,278eb,150530
278112,278,112,278ec,153060
279109,279,109,279mt,145490
279110,279,110,279ea,147980
279111,279,111,279eb,151340
279112,279,112,279ec,155140
280110,280,110,280ea,148850
280111,280,111,280eb,153210
280112,280,112,280ec,155600
281110,281,110,281ea,150960
281111,281,111,281eb,154040
281112,281,112,281ec,157690
282111,282,111,282eb,156010
282112,282,112,282ec,158140
283111,283,111,283eb,156880
283112,283,112,283ec,160020
283113,283,113,283ed,164360
284112,284,112,284ec,160570
284113,284,113,284ed,165880
285112,285,112,285ec,162180
285113,285,113,285ed,166490
285114,285,114,285ee,171110
286113,286,113,286ed,168120
286114,286,114,286ee,171260
287113,287,113,287ed,168640
287114,287,114,287ee,172880
287115,287,115,287ef,178090
288114,288,114,288ee,172970
288115,288,115,288ef,179310
289114,289,114,289ee,174450
289115,289,115,289ef,179510
289116,289,116,289eg,185240
290115,290,115,290ef,180840
290116,290,116,290eg,184990
291115,291,115,291ef,181070
291116,291,116,291eg,186310
291117,291,117,291eh,192410
292116,292,116,292eg,186100
292117,292,117,292eh,193330
293118,293,118,293ei,199960
